市縣,區域,總計,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版、影音製作、傳播及資通訊服務業,金融及保險業、強制性社會安全,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
新北市,泰山區,4805,0,976,1,28,423,1945,269,366,27,58,76,109,72,69,64,65,257
新北市,林口區,5467,1,545,16,26,464,2276,263,581,77,112,244,220,83,92,85,81,301
新北市,深坑區,1469,0,150,3,5,157,562,88,183,38,24,14,54,28,19,23,31,90
新北市,石碇區,225,0,8,0,1,14,82,34,63,0,3,0,4,4,2,4,0,6
新北市,坪林區,260,0,4,1,0,8,152,20,53,0,2,1,3,3,2,3,2,6
新北市,三芝區,1117,0,119,0,2,175,333,81,193,6,9,12,24,10,25,14,12,102
新北市,石門區,206,0,7,2,1,37,61,19,40,1,4,3,2,7,5,4,5,8
新北市,八里區,2131,1,460,1,28,226,704,156,174,14,24,47,43,54,35,25,30,109
新北市,平溪區,309,0,2,1,2,11,130,22,115,1,2,1,0,3,3,4,2,10
新北市,雙溪區,276,0,3,1,1,26,120,29,56,1,4,0,4,1,5,6,2,17
新北市,貢寮區,332,0,11,2,3,48,102,25,67,2,7,0,4,26,10,6,5,14
新北市,金山區,1075,0,45,1,7,191,437,67,169,4,7,9,13,15,16,11,17,66
新北市,萬里區,942,0,29,2,2,86,442,79,177,4,9,5,13,11,9,8,9,57
新北市,烏來區,260,0,1,0,0,9,68,23,92,1,3,0,0,2,6,5,5,45
新竹市,全部,25633,3,2559,19,118,2250,9625,575,3221,321,711,782,1067,624,604,562,363,2229
新竹市,東區,13230,2,1054,9,48,771,5253,279,1880,215,446,449,516,299,352,342,189,1126
新竹市,北區,8353,1,607,8,31,806,3200,196,991,74,216,266,446,223,190,196,134,768
新竹市,香山區,4050,0,898,2,39,673,1172,100,350,32,49,67,105,102,62,24,40,335
新竹縣,全部,27314,13,3373,38,151,2821,9913,726,3396,280,544,750,938,502,623,563,344,2339
新竹縣,竹北市,11016,0,1150,16,43,1099,4038,202,1162,182,338,489,591,224,296,250,98,838
新竹縣,竹東鎮,4122,4,356,3,27,424,1545,144,494,39,61,70,128,91,92,117,70,457
新竹縣,新埔鎮,1245,0,186,1,11,130,510,47,137,5,12,13,19,11,21,26,13,103
新竹縣,關西鎮,1026,0,91,2,7,95,413,23,145,5,8,18,25,11,24,26,16,117
新竹縣,湖口鄉,4470,1,827,10,26,484,1507,129,560,15,44,89,80,68,65,64,65,436
新竹縣,新豐鄉,2420,1,385,0,17,252,899,71,284,16,29,48,51,39,62,41,33,192
新竹縣,芎林鄉,819,3,115,1,3,105,267,34,89,6,18,13,17,22,14,12,12,88
新竹縣,橫山鄉,512,2,46,1,2,66,204,23,75,1,5,5,3,11,9,5,16,38
新竹縣,北埔鄉,428,0,32,1,0,32,193,14,89,4,4,0,5,5,9,5,10,25
新竹縣,寶山鄉,584,0,144,2,13,106,142,22,49,7,17,4,11,11,12,6,5,33
新竹縣,峨眉鄉,211,2,39,0,2,20,69,10,41,0,4,1,2,5,3,3,2,8
新竹縣,尖石鄉,292,0,1,0,0,5,85,3,172,0,2,0,1,1,10,5,3,4
新竹縣,五峰鄉,169,0,1,1,0,3,41,4,99,0,2,0,5,3,6,3,1,0
桃園市,全部,111055,17,16173,43,669,10490,42227,4401,11294,901,1885,2560,3545,2462,1927,2032,1675,8754
桃園市,桃園區,25086,0,2013,4,101,2151,10561,839,2239,277,650,841,1313,655,481,635,430,1896
桃園市,中壢區,21474,1,1881,7,113,1685,8624,707,2656,216,404,572,767,580,374,473,385,2029
桃園市,大溪區,4335,3,608,3,20,562,1648,203,471,24,41,45,105,81,83,60,50,328
桃園市,楊梅區,7147,0,1297,1,52,757,2455,328,805,40,88,124,146,134,135,110,98,577
桃園市,蘆竹區,8902,1,2250,3,77,714,2997,326,754,64,175,214,229,140,170,139,114,535
桃園市,大園區,4722,1,774,3,56,476,1657,440,438,28,65,104,82,103,56,57,51,331
桃園市,龜山區,9959,2,2298,12,40,771,3387,424,1163,59,128,208,200,182,120,149,148,668
桃園市,八德區,8577,1,1680,2,54,1066,3225,355,564,53,100,139,202,188,114,127,99,608
桃園市,龍潭區,5512,1,885,2,36,546,1986,187,684,41,57,78,117,81,110,105,95,501
桃園市,平鎮區,9978,2,1223,2,60,1219,3916,404,866,81,137,178,316,220,202,128,133,891
桃園市,新屋區,2435,4,583,1,24,189,842,74,278,9,20,21,31,50,29,21,33,226
桃園市,觀音區,2617,1,679,3,36,343,811,102,263,8,17,34,34,42,42,21,32,149
桃園市,復興區,311,0,2,0,0,11,118,12,113,1,3,2,3,6,11,7,7,15
澎湖縣,全部,5584,0,206,9,16,461,2202,291,1066,32,78,111,78,414,62,118,90,350
澎湖縣,馬公市,4360,0,165,5,12,298,1793,194,833,28,59,101,72,324,41,91,67,277
澎湖縣,湖西鄉,478,0,11,2,1,108,125,39,94,2,5,8,1,28,6,7,5,36
澎湖縣,白沙鄉,324,0,17,0,2,24,94,36,63,1,5,1,2,42,6,10,9,12
澎湖縣,西嶼鄉,228,0,11,0,1,21,96,6,45,1,5,1,2,6,4,6,3,20
澎湖縣,望安鄉,74,0,1,1,0,2,27,9,12,0,2,0,1,9,4,2,3,1
澎湖縣,七美鄉,120,0,1,1,0,8,67,7,19,0,2,0,0,5,1,2,3,4
臺中市,全部,187799,34,33397,93,776,14660,71776,4625,17979,2147,3358,4379,7638,3558,3550,4021,2114,13694
臺中市,中區,2505,0,64,1,1,40,1264,58,376,35,70,52,92,56,55,73,106,162
臺中市,東區,6600,0,1230,0,14,361,2977,162,565,55,64,89,206,96,109,114,82,476
臺中市,南區,8258,1,837,1,16,613,3485,196,873,137,138,183,513,177,140,196,71,681
臺中市,西區,12176,0,344,2,23,604,4963,273,1615,297,501,469,1101,363,262,362,132,865
臺中市,北區,12282,1,408,7,26,745,5327,281,1464,264,302,406,780,333,226,367,166,1179
臺中市,西屯區,18549,0,1647,13,52,1171,7667,468,2047,382,546,779,1102,474,318,405,263,1215
臺中市,南屯區,12979,3,1028,4,36,987,5463,220,1275,220,388,482,816,327,331,371,122,906
臺中市,北屯區,15803,3,948,9,62,1502,6712,394,1553,233,302,430,829,407,389,429,203,1398
臺中市,豐原區,11368,2,3181,1,31,488,4089,178,1012,61,151,179,317,153,249,281,122,873
