市縣,區域,總計,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版、影音製作、傳播及資通訊服務業,金融及保險業、強制性社會安全,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
金門縣,金寧鄉,487,0,17,0,1,127,125,38,77,3,3,17,12,22,5,7,7,26
金門縣,烈嶼鄉,199,0,9,2,0,31,65,17,33,0,2,1,3,7,4,2,4,19
金門縣,烏坵鄉,5,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0
雲林縣,全部,31156,12,2921,84,158,3049,13985,691,3466,113,424,401,685,395,569,654,503,3046
雲林縣,斗六市,6989,2,605,8,29,580,2804,132,969,30,111,154,236,125,160,179,136,729
雲林縣,斗南鎮,2404,2,285,3,10,181,1058,85,220,8,35,35,51,25,35,48,51,272
雲林縣,虎尾鎮,4123,1,379,12,22,364,1696,85,489,29,82,113,113,65,87,101,64,421
雲林縣,西螺鎮,2144,0,170,2,4,108,1268,53,156,3,22,25,38,15,26,47,38,169
雲林縣,土庫鎮,1511,0,128,2,8,170,719,22,179,2,18,7,26,4,36,17,22,151
雲林縣,北港鎮,2417,0,166,2,7,112,1241,39,329,6,34,10,45,21,53,64,38,250
雲林縣,古坑鄉,1089,1,87,1,4,99,476,20,218,3,8,3,16,20,15,18,6,94
雲林縣,大埤鄉,659,0,115,1,8,68,333,16,24,1,6,0,6,5,10,10,8,48
雲林縣,莿桐鄉,1382,1,206,1,9,174,559,37,145,2,11,5,11,12,16,29,17,147
雲林縣,林內鄉,665,1,70,2,5,70,281,8,97,2,5,3,8,8,8,16,7,74
雲林縣,二崙鄉,843,0,107,4,0,59,412,20,88,4,8,10,16,4,7,13,11,80
雲林縣,崙背鄉,919,0,89,6,2,102,482,9,55,6,10,4,15,9,16,23,16,75
雲林縣,麥寮鄉,1846,2,169,13,10,412,639,22,214,3,13,17,40,31,28,21,40,172
雲林縣,東勢鄉,463,0,32,5,2,78,231,11,25,1,8,1,9,3,8,7,4,38
雲林縣,褒忠鄉,437,0,61,2,3,62,197,8,25,2,6,2,4,3,10,10,7,35
雲林縣,臺西鄉,613,1,24,3,8,116,301,8,51,1,8,1,13,12,8,10,6,42
雲林縣,元長鄉,763,0,85,4,7,59,339,91,37,4,8,8,9,12,17,13,9,61
雲林縣,四湖鄉,497,0,27,4,7,65,247,4,53,2,10,0,9,4,5,11,5,44
雲林縣,口湖鄉,630,1,53,6,7,92,316,11,29,3,8,1,10,10,11,7,8,57
雲林縣,水林鄉,762,0,63,3,6,78,386,10,63,1,13,2,10,7,13,10,10,87
高雄市,全部,167328,23,14586,102,912,14377,68761,6251,20407,1456,3219,2738,5475,3575,3101,3866,2180,16299
高雄市,鹽埕區,2326,0,83,2,1,90,1241,114,310,20,68,38,57,31,19,46,30,176
高雄市,鼓山區,6677,1,336,2,20,491,2706,259,806,97,219,242,333,146,144,182,68,625
高雄市,左營區,11683,0,361,1,43,935,5048,291,1523,124,254,321,533,296,278,386,140,1149
高雄市,楠梓區,9223,0,439,3,43,841,3612,319,1547,55,105,114,240,204,225,239,103,1134
高雄市,三民區,25021,2,1315,7,95,1898,11353,672,3040,284,424,361,1022,532,469,633,303,2611
高雄市,新興區,6575,1,139,2,11,231,3067,134,900,74,310,181,307,152,117,195,106,648
高雄市,前金區,3517,1,76,0,7,149,1127,183,557,45,191,113,291,201,60,97,73,346
高雄市,苓雅區,15512,2,491,1,46,1092,6394,918,1900,241,503,411,779,425,258,374,208,1469
高雄市,前鎮區,11857,0,932,10,60,1065,4634,905,1220,172,256,216,436,299,178,250,143,1081
高雄市,旗津區,1002,0,94,1,1,51,445,37,215,2,7,1,7,15,16,12,18,80
高雄市,小港區,6656,0,610,5,77,832,2342,456,822,42,77,74,131,200,138,127,88,635
高雄市,鳳山區,20051,1,1224,7,110,2102,8574,711,2387,131,235,232,541,336,399,476,327,2258
高雄市,林園區,2589,1,285,21,17,383,928,77,298,7,24,14,44,45,65,53,46,281
高雄市,大寮區,6377,2,1322,4,110,769,2397,208,488,26,55,62,104,98,83,96,53,500
高雄市,大樹區,2067,2,296,1,11,203,884,61,248,7,18,10,30,23,42,33,26,172
高雄市,大社區,2708,0,508,3,27,265,957,80,361,7,12,32,38,42,33,41,42,260
高雄市,仁武區,6129,2,1257,2,54,697,2446,177,457,22,36,67,135,94,67,83,64,469
高雄市,鳥松區,2209,0,353,0,17,231,962,59,178,18,37,26,52,28,35,30,29,154
高雄市,岡山區,6408,1,1427,3,56,429,2349,117,669,31,127,107,129,115,121,137,86,504
高雄市,橋頭區,1937,0,234,2,5,162,788,41,252,11,27,20,43,40,39,35,30,208
高雄市,燕巢區,1742,1,522,2,19,158,575,33,190,5,18,10,14,26,17,28,8,116
高雄市,田寮區,172,0,30,0,0,9,60,4,41,0,4,1,0,2,2,3,1,15
高雄市,阿蓮區,1584,1,339,1,16,126,582,22,224,5,18,1,16,16,26,26,11,154
高雄市,路竹區,2994,0,711,3,18,200,1003,136,327,9,51,31,61,52,61,63,26,242
高雄市,湖內區,1541,1,411,2,14,133,511,43,162,1,32,13,19,29,22,23,14,111
高雄市,茄萣區,733,0,106,0,3,41,310,17,82,2,5,5,9,4,19,25,15,90
高雄市,永安區,529,0,121,2,7,44,193,13,74,1,10,2,3,4,8,7,1,39
高雄市,彌陀區,672,0,105,1,1,88,308,8,54,2,10,0,6,13,15,8,6,47
高雄市,梓官區,1565,0,240,2,5,191,638,26,140,4,14,11,21,36,35,23,21,158
高雄市,旗山區,2408,2,91,4,9,211,1086,43,385,4,30,18,42,25,43,73,45,297
高雄市,美濃區,1081,1,67,3,5,84,475,38,190,4,18,1,12,13,21,30,17,102
高雄市,六龜區,490,1,18,1,1,49,212,8,106,1,5,2,8,8,7,7,9,47
高雄市,甲仙區,320,0,10,1,0,37,144,7,58,2,3,1,4,1,4,5,4,39
高雄市,杉林區,307,0,9,1,1,26,138,5,57,0,3,0,4,3,11,7,7,35
高雄市,內門區,462,0,23,1,2,48,185,26,87,0,6,0,3,15,11,6,6,43
高雄市,茂林區,67,0,0,0,0,8,28,1,15,0,1,0,0,3,4,2,4,1
高雄市,桃源區,81,0,1,1,0,5,38,1,18,0,3,0,1,3,5,2,2,1
高雄市,那瑪夏區,56,0,0,0,0,3,21,1,19,0,3,0,0,0,4,3,0,2
